Country,Emissions de CO2,Emissions de GES,Exposition du PM2.5,Mortalité due au plomb,Mortalité due aux PM2.5,depense sante,Year,Taux de mortalite
AUS,250.955,341.91999999999996,7.59,0.06587,0.06825,126657.898,2018,6.387
AUT,80.22999999999999,83.11,12.54,0.055310000000000005,0.25998000000000004,45231.436,2018,9.519
BEL,85.44,97.74,12.35,0.12476999999999999,0.30056,57111.479,2018,9.711
BGR,66.83,82.19,19.79,0.2596,1.28951,11489.321,2018,15.394
CAN,334.875,444.535,6.87,0.02234,0.10227,182781.747,2018,7.706
CHE,60.44,72.79,10.08,0.04513,0.15708000000000003,56165.119,2018,7.907
CHL,131.07,129.525,23.07,0.011349999999999999,0.29523,39831.548,2018,5.695
COL,104.015,140.76999999999998,15.7,0.07231,0.25348,54394.337,2018,4.87
CRI,88.89,75.86999999999999,14.9,0.08212,0.18321,7139.793,2018,4.749
CYP,53.059999999999995,57.115,15.1,0.06972,0.32526,2135.043,2018,6.674
CZE,91.53,102.675,17.3,0.07452,0.5858099999999999,30607.713,2018,10.643
DEU,390.02,504.45,11.66,0.054380000000000005,0.32044,473832.606,2018,11.533
DNK,47.145,95.03,10.14,0.03157,0.23367,28327.702,2018,9.554
ESP,168.995,215.87,10.28,0.08847,0.18730000000000002,149641.71,2018,9.112
EST,60.21,65.47,7.72,0.04093,0.11367000000000001,2914.759,2018,11.94
FIN,62.045,71.595,5.52,0.01509,0.06025,22216.084,2018,9.89
FRA,191.1,268.07,10.34,0.07006,0.2,319813.515,2018,9.097
GBR,210.23,316.15500000000003,10.04,0.0344,0.21658000000000002,262146.713,2018,9.267
GRC,65.83,90.28,15.35,0.12614,0.5332,23132.985,2018,11.2
HRV,53.135,62.169999999999995,19.61,0.08452,0.72536,7215.723,2018,12.838
HUN,65.495,79.17500000000001,17.37,0.09627,0.7328600000000001,20240.155,2018,13.405
IRL,61.285000000000004,98.295,8.15,0.04624,0.10381,22727.707,2018,6.447
ISL,40.195,76.375,6.0,0.03141,0.04528,1488.728,2018,6.596
ITA,196.28,262.925,15.92,0.10015,0.39926999999999996,192429.555,2018,10.468
JPN,590.0450000000001,631.8399999999999,12.95,0.03037,0.30639999999999995,589822.777,2018,10.741
KOR,374.405,401.495,25.54,0.03488,0.40136,155771.603,2018,5.793
LTU,60.06,71.515,11.11,0.04757,0.44583999999999996,6267.156,2018,14.089
LUX,59.97,70.685,9.29,0.0313,0.14234,2937.597,2018,7.173
LVA,56.49,60.965,14.55,0.05856,0.56687,3343.059,2018,14.899
MEX,265.955,340.315,16.01,0.09398999999999999,0.27804,132231.8,2018,5.65
MLT,37.235,39.415,13.2,0.22003,0.31604000000000004,1724.275,2018,7.753
NLD,122.11,147.135,11.97,0.038590000000000006,0.26769,87082.602,2018,8.926
NOR,79.64500000000001,88.775,6.71,0.036950000000000004,0.07202,31047.41,2018,7.712
NZL,70.88,87.94,7.06,0.05887,0.061130000000000004,17989.346,2018,6.78
POL,204.51500000000001,268.265,22.26,0.09948,0.72521,78083.278,2018,10.907
PRT,64.405,76.575,8.84,0.16012,0.2031,30106.975,2018,10.985
ROU,77.38499999999999,106.18,16.64,0.19179,0.74093,29211.136,2018,13.511
SVK,58.75,64.375,18.53,0.07581,0.6224700000000001,11892.247,2018,9.975
SVN,55.285000000000004,56.97,17.81,0.05113,0.38349,5873.606,2018,9.911
SWE,50.15,63.14,6.29,0.02899,0.06577,52680.734,2018,9.109
TUR,280.46,350.645,23.38,0.05702,0.50074,96017.076,2018,5.281
USA,2498.04,3047.405,7.71,0.06308,0.14262,3249075.581,2018,8.689
